annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numéro_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;boule_6;numero_dream;boules_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Dreams_en_france;nombre_de_gagnant_au_rang1_Euro_Dreams_en_europe;rapport_du_rang1_Euro_Dreams;nombre_de_gagnant_au_rang2_Euro_Dreams_en_france;nombre_de_gagnant_au_rang2_Euro_Dreams_en_europe;rapport_du_rang2_Euro_Dreams;nombre_de_gagnant_au_rang3_Euro_Dreams_en_france;nombre_de_gagnant_au_rang3_Euro_Dreams_en_europe;rapport_du_rang3_Euro_Dreams;nombre_de_gagnant_au_rang4_Euro_Dreams_en_france;nombre_de_gagnant_au_rang4_Euro_Dreams_en_europe;rapport_du_rang4_Euro_Dreams;nombre_de_gagnant_au_rang5_Euro_Dreams_en_france;nombre_de_gagnant_au_rang5_Euro_Dreams_en_europe;rapport_du_rang5_Euro_Dreams;nombre_de_gagnant_au_rang6_Euro_Dreams_en_france;nombre_de_gagnant_au_rang6_Euro_Dreams_en_europe;rapport_du_rang6_Euro_Dreams;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;
24010;JEUDI;01/02/2024;;01/05/2024;15;12;35;6;33;28;3;-6-12-15-28-33-35-;0;0;0;0;0;0;77;197;96,60;2612;7566;40,40;35526;105708;5,30;204782;615096;2,50;;;;
24009;LUNDI;29/01/2024;;28/04/2024;29;25;27;2;8;38;3;-2-8-25-27-29-38-;0;0;0;0;0;0;45;159;106,70;1886;6503;41,90;28333;94615;5,30;165551;550151;2,50;;;;
24008;JEUDI;25/01/2024;;24/04/2024;22;26;27;3;1;2;1;-1-2-3-22-26-27-;0;0;0;0;0;0;39;152;117,40;1867;5867;48,90;29954;94420;5,60;190751;592927;2,50;;;;
24007;LUNDI;22/01/2024;;21/04/2024;31;25;34;8;16;29;2;-8-16-25-29-31-34-;0;1;20000,00;0;1;2000,00;44;144;127,90;1889;6075;48,70;27844;87443;6,20;170976;530498;2,50;;;;
24006;JEUDI;18/01/2024;;17/04/2024;8;40;30;16;23;19;5;-8-16-19-23-30-40-;0;0;0;0;0;0;58;217;81,60;2630;8231;34,50;35696;108436;4,80;199837;610297;2,50;;;;
24005;LUNDI;15/01/2024;;14/04/2024;35;2;33;6;23;19;5;-2-6-19-23-33-35-;0;0;0;0;1;2000,00;56;166;106,50;2064;7002;40,60;29707;98318;5,30;176602;575663;2,50;;;;
24004;JEUDI;11/01/2024;;10/04/2024;31;7;38;5;24;29;2;-5-7-24-29-31-38-;0;0;0;0;1;2000,00;64;179;109,70;2585;7600;41,50;38081;110096;5,30;225394;652821;2,50;;;;
24003;LUNDI;08/01/2024;;07/04/2024;25;19;26;40;13;33;1;-13-19-25-26-33-40-;1;1;20000,00;1;1;2000,00;72;232;75,50;2650;8781;32,00;36370;114681;4,50;203377;627662;2,50;;;;
24002;JEUDI;04/01/2024;;03/04/2024;29;15;21;30;22;39;1;-15-21-22-29-30-39-;0;0;0;0;1;2000,00;45;162;125,30;2282;6864;47,50;34099;103644;5,80;207974;624007;2,50;;;;
24001;LUNDI;01/01/2024;;31/03/2024;5;28;2;18;39;24;4;-2-5-18-24-28-39-;0;0;0;0;1;2000,00;36;141;115,30;2061;6260;41,70;28592;87747;5,50;171321;515598;2,50;;;;
23016;JEUDI;28/12/2023;;27/03/2024;15;11;5;39;21;24;5;-5-11-15-21-24-39-;0;0;0;0;0;0;54;177;113,70;2804;8346;38,70;40975;117581;5,10;234236;674702;2,50;;;;
23015;LUNDI;25/12/2023;;24/03/2024;12;22;17;21;3;13;1;-3-12-13-17-21-22-;0;0;0;0;0;0;66;151;94,00;3054;7731;29,50;42413;108236;3,90;233278;603256;2,50;;;;
23014;JEUDI;21/12/2023;;20/03/2024;29;17;23;15;26;3;4;-3-15-17-23-26-29-;0;0;0;0;0;0;70;240;84,50;3410;9222;35,30;44203;123312;4,90;248312;691835;2,50;;;;
23013;LUNDI;18/12/2023;;17/03/2024;16;21;2;35;40;33;5;-2-16-21-33-35-40-;0;0;0;0;1;2000,00;62;167;133,80;2453;7277;49,30;36960;106122;6,20;227875;639744;2,50;;;;
23012;JEUDI;14/12/2023;;13/03/2024;9;3;27;33;8;22;1;-3-8-9-22-27-33-;0;0;0;0;1;2000,00;87;244;85,60;4120;10335;32,40;54040;139276;4,40;296863;770880;2,50;;;;
23011;LUNDI;11/12/2023;;10/03/2024;28;18;21;30;32;11;1;-11-18-21-28-30-32-;0;0;0;0;0;0;94;247;91,00;3695;9043;39,90;52763;130052;5,10;304747;753206;2,50;;;;
23010;JEUDI;07/12/2023;;06/03/2024;10;38;5;1;32;3;5;-1-3-5-10-32-38-;0;0;0;0;0;0;65;158;167,60;3121;8178;52,00;49489;128263;6,10;305606;783325;2,50;;;;
23009;LUNDI;04/12/2023;;03/03/2024;12;24;32;29;8;30;5;-8-12-24-29-30-32-;0;0;0;0;0;0;65;176;136,20;3342;8810;43,70;49712;129381;5,50;290221;749852;2,50;;;;
23008;JEUDI;30/11/2023;;28/02/2024;14;36;27;37;15;2;5;-2-14-15-27-36-37-;0;0;0;0;0;0;68;192;144,20;2819;7615;58,40;44297;120816;6,80;280258;760456;2,50;;;;
23007;LUNDI;27/11/2023;;25/02/2024;2;18;33;23;29;35;4;-2-18-23-29-33-35-;0;0;0;0;1;2000,00;82;221;114,10;3134;8738;46,40;46252;126292;5,90;282026;755570;2,50;;;;
23006;JEUDI;23/11/2023;;21/02/2024;35;15;22;4;23;28;4;-4-15-22-23-28-35-;0;0;0;0;0;0;78;203;135,40;4269;10347;42,70;60397;148794;5,50;353267;875259;2,50;;;;
23005;LUNDI;20/11/2023;;18/02/2024;6;13;25;26;18;32;3;-6-13-18-25-26-32-;0;0;0;1;2;2000,00;105;278;87,70;4489;11306;34,70;61495;153085;4,70;342417;855091;2,50;;;;
23004;JEUDI;16/11/2023;;14/02/2024;13;11;18;5;27;25;5;-5-11-13-18-25-27-;0;0;0;0;1;2000,00;185;421;57,90;6394;15047;26,00;78964;189479;3,80;408852;1000280;2,50;;;;
23003;LUNDI;13/11/2023;;11/02/2024;39;33;1;6;25;26;2;-1-6-25-26-33-39-;0;0;0;0;0;0;79;203;150,10;3690;9410;52,00;59146;144079;6,30;371226;891966;2,50;;;;
23002;JEUDI;09/11/2023;;07/02/2024;32;16;31;19;14;37;2;-14-16-19-31-32-37-;0;0;0;0;0;0;81;214;173,90;4238;10561;56,60;68169;163908;6,70;429146;1016365;2,50;;;;
23001;LUNDI;06/11/2023;;04/02/2024;25;14;13;30;10;35;5;-10-13-14-25-30-35-;2;2;20000,00;0;2;2000,00;165;398;107,50;6970;16357;42,00;103760;240384;5,30;608464;1418445;2,50;;;;
